model,domain,perturbation,total_answers,correct_answers,answer_accuracy,total_claims,supported_claims,unsupported_claims,claim_faithfulness,hallucination_rate,perturbation_drop
qwen3_vl_8b,ocr_doc,external_clean,30,20,0.6667,42,28,14,0.6667,0.3333,0.0000
internvl35_8b_hf,ocr_doc,external_clean,30,19,0.6333,47,34,13,0.7234,0.2766,0.0000
qwen3_vl_4b,ocr_doc,external_clean,30,19,0.6333,40,26,14,0.6500,0.3500,0.0000
